slot_id,category,visual_family,subject,composition,palette,query,status,notes
chart_01,carta_transitos,foto_atmosferica,ventana nocturna con reflejo,negative space top center,"azul noche, negro, blanco hueso","nocturnal window reflection astrology mood blue black grain empty space",todo,"Para Tu Luna explica esto"
chart_02,carta_transitos,foto_atmosferica,sombra sobre pared,subject low right,"charcoal, blue, bone","soft shadow on charcoal wall moonlight editorial grain",todo,""
chart_03,carta_transitos,diagrama_orbital,orbe oscuro con linea orbital,centered object,"black, copper, bone","dark celestial orb subtle copper orbit lines editorial",todo,""
chart_04,carta_transitos,diagrama_orbital,carta natal abstracta,full frame diagram,"black, copper","abstract natal chart rings dark premium copper linework no text",todo,""
chart_05,carta_transitos,foto_atmosferica,agua negra con reflejo lunar,center water texture,"black, blue, silver","dark water moon reflection cinematic grain astrology",todo,""
chart_06,carta_transitos,textura_editorial,papel negro con linea cobre,flat lay,"charcoal, copper","black paper texture copper thin orbital diagram minimal",todo,""
chart_07,carta_transitos,foto_atmosferica,cortina y luz de madrugada,left light source,"blue, black","blue dawn curtain shadow emotional empty room",todo,""
chart_08,carta_transitos,diagrama_orbital,linea de tiempo celeste,horizontal path,"black, copper","astrology transit timeline dark editorial copper dots",todo,""
chart_09,carta_transitos,foto_atmosferica,mano cerca de vidrio,partial hand no face,"charcoal, blue","hand near window moonlight anonymous emotional editorial",todo,""
chart_10,carta_transitos,textura_editorial,cuaderno oscuro abierto,flat lay empty,"black, bone","dark open journal astrology note empty space",todo,""
chart_11,carta_transitos,diagrama_orbital,planeta desenfocado,center blur,"black, copper, blue","blurred planet dark premium soft copper glow",todo,""
chart_12,carta_transitos,foto_atmosferica,pasillo azul oscuro,deep perspective,"blue, black","empty blue hallway cinematic grain introspective astrology",todo,""
chart_13,carta_transitos,textura_editorial,sombra circular sobre papel,center shadow,"bone, charcoal","circular shadow on textured paper editorial astrology",todo,""
chart_14,carta_transitos,diagrama_orbital,tres puntos conectados,center diagram,"black, copper","three celestial points connected dark copper minimal",todo,""
chart_15,carta_transitos,foto_atmosferica,cielo nublado nocturno,full bleed sky,"blue, black","dark cloudy night sky grain moonless editorial",todo,""
