asset_id,family,name,variant,format,priority_batch,usage,status,prompt
orbita_zodiac_aries_editable_symbol,zodiac,Aries,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Aries, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_aries_editorial_emblem_png,zodiac,Aries,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Aries as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_tauro_editable_symbol,zodiac,Tauro,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Tauro, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_tauro_editorial_emblem_png,zodiac,Tauro,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Tauro as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_geminis_editable_symbol,zodiac,Géminis,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Géminis, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_geminis_editorial_emblem_png,zodiac,Géminis,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Géminis as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_cancer_editable_symbol,zodiac,Cáncer,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Cáncer, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_cancer_editorial_emblem_png,zodiac,Cáncer,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Cáncer as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_leo_editable_symbol,zodiac,Leo,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Leo, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_leo_editorial_emblem_png,zodiac,Leo,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Leo as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
